date,ticker,author,title,url
2024-07-25,TXT,lordbeaverbrook,TEXTRON INC,https://valueinvestorsclub.com/idea/TEXTRON_INC/7271465782
2024-01-27,OSK,lordbeaverbrook,Oshkosh,https://valueinvestorsclub.com/idea/Oshkosh/8646735621
2024-01-03,DHI,lordbeaverbrook,D.R. HORTON,https://valueinvestorsclub.com/idea/D.R._HORTON/0499558715
2023-06-22,J,lordbeaverbrook,GENERAL MOTORS CO,https://valueinvestorsclub.com/idea/GENERAL_MOTORS_CO/4795272591
2023-01-26,DAL,lordbeaverbrook,DELTA AIR LINES INC,https://valueinvestorsclub.com/idea/DELTA_AIR_LINES_INC/7525446910
2022-07-11,TAP,lordbeaverbrook,MOLSON COORS BEVERAGE CO,https://valueinvestorsclub.com/idea/MOLSON_COORS_BEVERAGE_CO/2361163567
2022-01-22,SAH,lordbeaverbrook,Sonic Automotive,https://valueinvestorsclub.com/idea/Sonic_Automotive/5029833759
2021-07-20,SI30,lordbeaverbrook,Series I Bond,https://valueinvestorsclub.com/idea/Series_I__Bond/6702081997
2020-12-22,WHR,lordbeaverbrook,WHIRLPOOL CORP,https://valueinvestorsclub.com/idea/WHIRLPOOL_CORP/0070716468
2020-07-09,TOL,lordbeaverbrook,TOLL BROTHERS INC,https://valueinvestorsclub.com/idea/TOLL_BROTHERS_INC/9071857315
2020-07-06,LEN.B,lordbeaverbrook,LENNAR CORP,https://valueinvestorsclub.com/idea/LENNAR_CORP/4854763951
2020-01-24,LYB,lordbeaverbrook,LYONDELLBASELL INDUSTRIES NV,https://valueinvestorsclub.com/idea/LYONDELLBASELL_INDUSTRIES_NV/8735580342
2019-06-30,PWR,lordbeaverbrook,QUANTA SERVICES INC,https://valueinvestorsclub.com/idea/QUANTA_SERVICES_INC/3137916709
2019-01-27,MTH,lordbeaverbrook,MERITAGE HOMES CORP,https://valueinvestorsclub.com/idea/MERITAGE_HOMES_CORP/1173921363
2018-05-19,GM,lordbeaverbrook,GENERAL MOTORS CO,https://valueinvestorsclub.com/idea/GENERAL_MOTORS_CO/5639572558
2018-05-02,LEN,lordbeaverbrook,LENNAR CORP,https://valueinvestorsclub.com/idea/LENNAR_CORP/7723803092
2018-01-23,LSYN,lordbeaverbrook,LIBERATED SYNDICATION INC,https://valueinvestorsclub.com/idea/LIBERATED_SYNDICATION_INC/1362070373
2017-07-04,DHI,lordbeaverbrook,D R HORTON INC,https://valueinvestorsclub.com/idea/D_R_HORTON_INC/2435967447
2016-11-23,CAA,lordbeaverbrook,CALATLANTIC GROUP INC,https://valueinvestorsclub.com/idea/CALATLANTIC_GROUP_INC/4603478144
2016-07-26,STRL,lordbeaverbrook,STERLING CONSTRUCTION CO INC,https://valueinvestorsclub.com/idea/STERLING_CONSTRUCTION_CO_INC/4047449387
2016-01-27,TPH,lordbeaverbrook,TRI POINTE GROUP INC,https://valueinvestorsclub.com/idea/TRI_POINTE_GROUP_INC/9667763941
2015-08-04,eadsy,lordbeaverbrook,Airbus,https://valueinvestorsclub.com/idea/Airbus/8463234406
2014-10-17,PX,lordbeaverbrook,PRAXAIR INC,https://valueinvestorsclub.com/idea/PRAXAIR_INC/9556155087
2013-09-26,BHI,lordbeaverbrook,BAKER HUGHES INC,https://valueinvestorsclub.com/idea/BAKER_HUGHES_INC/1249435563
2013-06-21,LUV,lordbeaverbrook,SOUTHWEST AIRLINES,https://valueinvestorsclub.com/idea/SOUTHWEST_AIRLINES/3231859619
2012-09-07,TEL,lordbeaverbrook,TE CONNECTIVITY LTD,https://valueinvestorsclub.com/idea/TE_CONNECTIVITY_LTD/1924349914
2012-03-28,SWN,lordbeaverbrook,SOUTHWESTERN ENERGY CO,https://valueinvestorsclub.com/idea/SOUTHWESTERN_ENERGY_CO/5361090696
2011-06-13,BK,lordbeaverbrook,BANK OF NEW YORK MELLON CORP,https://valueinvestorsclub.com/idea/BANK_OF_NEW_YORK_MELLON_CORP/4855221799
2010-08-05,APD,lordbeaverbrook,AIR PRODUCTS & CHEMICALS INC,https://valueinvestorsclub.com/idea/AIR_PRODUCTS_and_CHEMICALS_INC/0633519265
2010-07-01,FDX,lordbeaverbrook,FEDEX CORP,https://valueinvestorsclub.com/idea/FEDEX_CORP/9247877800
2010-03-19,BDX,lordbeaverbrook,BECTON DICKINSON & CO,https://valueinvestorsclub.com/idea/BECTON_DICKINSON_and_CO/7571170249
2009-02-10,TMB,charlie479,TELEMIG CELULAR PARTICIPACOES,https://valueinvestorsclub.com/idea/TELEMIG_CELULAR_PARTICIPACOES/9773850117
2006-12-12,CRYP,nish697,Cryptologic,https://valueinvestorsclub.com/idea/Cryptologic/7081537629
2006-10-17,LE,nish697,Lear,https://valueinvestorsclub.com/idea/Lear/9000542907
2006-01-11,BB,lordbeaverbrook,RHJ International,https://valueinvestorsclub.com/idea/RHJ_International/8445570537
2005-09-07,FFH,nish697,Fairfax Financial Holdings,https://valueinvestorsclub.com/idea/Fairfax_Financial_Holdings/1616522306
2005-07-12,LQU,charlie479,"Quilmes Industrial (Quinsa), S",https://valueinvestorsclub.com/idea/Quilmes_Industrial_Quinsa_S/9716252703
2005-04-21,BRK.A,nish697,Berkshire Hathaway,https://valueinvestorsclub.com/idea/Berkshire_Hathaway/3779071369
2004-10-22,RDY,nish697,Dr. Reddy's Laboratories,https://valueinvestorsclub.com/idea/Dr._Reddys_Laboratories/5574874056
2004-08-30,IGL,lordbeaverbrook,IMC Global,https://valueinvestorsclub.com/idea/IMC_Global/7390412461
2004-05-09,XIDE,nish697,Exide Technologies,https://valueinvestorsclub.com/idea/Exide_Technologies/8518830149
2004-02-08,EXP/B,lordbeaverbrook,Eagle Materials,https://valueinvestorsclub.com/idea/Eagle_Materials/7547437103
2003-11-18,SJR,nish697,Shaw Comminications,https://valueinvestorsclub.com/idea/Shaw_Comminications/1554309035
2003-11-14,CVCO,lordbeaverbrook,Cavco Industries,https://valueinvestorsclub.com/idea/Cavco_Industries/3892226969
2003-07-09,TSO,nish697,Tesoro Petroleum,https://valueinvestorsclub.com/idea/Tesoro_Petroleum/9803298240
2003-06-09,SGDE,charlie479,Sportsman's Guide,https://valueinvestorsclub.com/idea/Sportsmans_Guide/3232112679
2003-03-10,TOL,lordbeaverbrook,Toll Brothers,https://valueinvestorsclub.com/idea/Toll_Brothers/6648206385
2003-03-01,MCPEQ,charlie479,MCI,https://valueinvestorsclub.com/idea/MCI/5076642220
2002-11-27,NIHD,charlie479,NII Holdings,https://valueinvestorsclub.com/idea/NII_Holdings/0861464549
2002-10-27,IBA,Michael99,Industrias Bachoco,https://valueinvestorsclub.com/idea/Industrias_Bachoco/7064788926
2002-10-24,SRZ,nish697,Sunrise Assisted Living,https://valueinvestorsclub.com/idea/Sunrise_Assisted_Living/1671006724
2002-09-20,PWTX,Michael99,Pillowtex,https://valueinvestorsclub.com/idea/Pillowtex/7763608470
2002-07-11,R,lordbeaverbrook,Ryder Systems,https://valueinvestorsclub.com/idea/Ryder_Systems/9269005918
2002-06-30,SOSA,lordbeaverbrook,Stolt Offshore Ltd.,https://valueinvestorsclub.com/idea/Stolt_Offshore_Ltd./4845008686
2002-04-19,LVLT,nish697,Level 3 Comunication,https://valueinvestorsclub.com/idea/Level_3_Comunication/1896320561
2001-12-10,SEIEQ,nish697,Seitel,https://valueinvestorsclub.com/idea/Seitel/7870140915
2001-11-15,FH,lordbeaverbrook,Silja Oyj Abp,https://valueinvestorsclub.com/idea/Silja_Oyj_Abp/2610205012
2001-10-11,FNLY,lordbeaverbrook,Finlay Enterprises,https://valueinvestorsclub.com/idea/Finlay_Enterprises/0503661668
2001-08-23,CTX,lordbeaverbrook,Centex Corp.,https://valueinvestorsclub.com/idea/Centex_Corp./8640869052
2001-07-13,WNMLA,charlie479,Winmill & Company,https://valueinvestorsclub.com/idea/Winmill_and_Company/3412541526
2001-06-20,NVR,charlie479,"NVR, Inc.",https://valueinvestorsclub.com/idea/NVR_Inc./1871818862
2001-06-01,WRP,Michael99,Wellsford Real Properties,https://valueinvestorsclub.com/idea/Wellsford_Real_Properties/6103501894
2001-04-20,QUIP,Michael99,"Quipp, Inc",https://valueinvestorsclub.com/idea/Quipp_Inc/2928743303
2001-04-11,R,lordbeaverbrook,Ryder Systems,https://valueinvestorsclub.com/idea/Ryder_Systems/2249063635
2001-03-28,GTSI,Michael99,GTSI Corp,https://valueinvestorsclub.com/idea/GTSI_Corp/1975048529
2000-11-06,VCLK,Michael99,"ValueClick, Inc.",https://valueinvestorsclub.com/idea/ValueClick_Inc./0592110273
2000-08-27,HBP,Michael99,Huttig Building Products,https://valueinvestorsclub.com/idea/Huttig_Building_Products/9643123144
